year,rcp,global_ce_dmg,global_dmg,global_dmg_old,gdp,pct_gdp_ce,pct_gdp,pct_gdp_old
2054,rcp45,329495266159.1598,326597446816.9499,326597446816.9531,186144740269280.47,0.001770102478761988,0.0017545349191413514,0.001754534919141369
2054,rcp85,521205316641.7785,516662351284.81305,516662351284.8207,186144740269280.47,0.0028000002357724055,0.002775594682596992,0.002775594682597033
2055,rcp45,384207457383.6942,381477437748.30774,381477437748.3114,187718581912643.5,0.0020467204336888107,0.0020321772829385194,0.002032177282938539
2055,rcp85,617036579550.1758,611718551893.6304,611718551893.6378,187718581912643.5,0.0032870298361689053,0.003258700048023477,0.003258700048023517
2056,rcp45,393939921523.88196,390847136179.2998,390847136179.3033,189311982521148.4,0.002080903259675463,0.0020645662835189925,0.0020645662835190107
2056,rcp85,600582536011.9271,595138379307.9055,595138379307.9136,189311982521148.4,0.0031724486110900818,0.003143691019354369,0.0031436910193544114
2057,rcp45,388147390537.9972,384763484129.73926,384763484129.7418,190923971855140.28,0.0020329945305794087,0.002015270688070908,0.0020152706880709214
2057,rcp85,663666931966.6061,657997203016.8162,657997203016.8231,190923971855140.28,0.0034760796432108066,0.003446383377756557,0.0034463833777565933
2058,rcp45,384991374252.1359,381870697600.10583,381870697600.1095,192969798160219.06,0.0019950861633408826,0.0019789143235929905,0.0019789143235930096
2058,rcp85,712655434051.2852,706086671731.1156,706086671731.1237,192969798160219.06,0.0036930931205078074,0.003659052755731576,0.003659052755731618
2059,rcp45,455064217550.58954,451674536694.7603,451674536694.76447,194639619026333.72,0.0023379834990789913,0.0023205683352352387,0.00232056833523526
2059,rcp85,700687853880.4767,693986002006.4855,693986002006.4937,194639619026333.72,0.003599924092461758,0.0035654919870789143,0.0035654919870789564
2060,rcp45,476619993854.2294,472882337295.4854,472882337295.48865,196329405324661.2,0.0024276546504384514,0.002408616969595059,0.0024086169695950754
2060,rcp85,823956806602.2185,816514702844.4734,816514702844.481,196329405324661.2,0.00419680793735242,0.004158901726892308,0.004158901726892347
2061,rcp45,500474588427.7264,496749933299.19574,496749933299.19885,198043551150476.2,0.002527093588861467,0.002508286336078464,0.0025082863360784795
2061,rcp85,894245504300.8701,885693225622.4968,885693225622.5055,198043551150476.2,0.004515398250061726,0.004472214421915385,0.004472214421915428
2062,rcp45,524986985183.28064,520994650486.6191,520994650486.62244,199778412191362.7,0.002627846419564136,0.002607862605232699,0.002607862605232716
2062,rcp85,877559912018.3308,868357731639.1985,868357731639.2065,199778412191362.7,0.0043926663666629725,0.00434660443095033,0.0043466044309503704
2063,rcp45,512983946986.04596,508978042825.8464,508978042825.8491,201915106026855.72,0.002540592217591766,0.002520752670967321,0.0025207526709673344
2063,rcp85,956511732947.891,945797930969.3463,945797930969.355,201915106026855.72,0.004737197487446383,0.004684136564024836,0.004684136564024878
